IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.236.9.152,2082,FALSE,SIN,Asia Pacific,Singapore,210 ms,5295 kB/s
47.236.172.71,2052,FALSE,SIN,Asia Pacific,Singapore,231 ms,5292 kB/s
47.236.149.107,2095,FALSE,SIN,Asia Pacific,Singapore,220 ms,5283 kB/s
47.236.75.113,8880,FALSE,SIN,Asia Pacific,Singapore,215 ms,5282 kB/s
47.236.121.23,2082,FALSE,SIN,Asia Pacific,Singapore,243 ms,5273 kB/s
47.236.80.110,2095,FALSE,SIN,Asia Pacific,Singapore,219 ms,5272 kB/s
47.237.95.13,8080,FALSE,SIN,Asia Pacific,Singapore,231 ms,5266 kB/s
47.236.170.54,2095,FALSE,SIN,Asia Pacific,Singapore,215 ms,5258 kB/s
47.237.95.146,80,FALSE,SIN,Asia Pacific,Singapore,218 ms,5256 kB/s
47.236.80.110,2082,FALSE,SIN,Asia Pacific,Singapore,220 ms,5254 kB/s
47.236.144.156,2052,FALSE,SIN,Asia Pacific,Singapore,223 ms,5251 kB/s
47.236.172.71,2095,FALSE,SIN,Asia Pacific,Singapore,236 ms,5245 kB/s
47.236.144.208,80,FALSE,SIN,Asia Pacific,Singapore,211 ms,5222 kB/s
47.236.118.216,2052,FALSE,SIN,Asia Pacific,Singapore,234 ms,5217 kB/s
47.237.81.112,8880,FALSE,SIN,Asia Pacific,Singapore,208 ms,5215 kB/s
47.236.118.216,80,FALSE,SIN,Asia Pacific,Singapore,259 ms,5202 kB/s
47.236.75.113,2095,FALSE,SIN,Asia Pacific,Singapore,238 ms,5201 kB/s
47.236.165.25,8880,FALSE,SIN,Asia Pacific,Singapore,247 ms,5194 kB/s
47.236.80.110,2086,FALSE,SIN,Asia Pacific,Singapore,220 ms,5194 kB/s
47.236.97.90,2086,FALSE,SIN,Asia Pacific,Singapore,236 ms,5179 kB/s
47.236.169.141,8880,FALSE,SIN,Asia Pacific,Singapore,218 ms,5168 kB/s
47.236.170.54,8080,FALSE,SIN,Asia Pacific,Singapore,226 ms,5164 kB/s
47.236.144.208,8880,FALSE,SIN,Asia Pacific,Singapore,212 ms,5159 kB/s
47.237.86.185,2086,FALSE,SIN,Asia Pacific,Singapore,210 ms,5159 kB/s
47.236.144.48,8880,FALSE,SIN,Asia Pacific,Singapore,257 ms,5128 kB/s
47.237.82.15,2095,FALSE,SIN,Asia Pacific,Singapore,252 ms,5125 kB/s
47.237.100.206,2095,FALSE,SIN,Asia Pacific,Singapore,239 ms,5116 kB/s
47.236.83.239,2082,FALSE,SIN,Asia Pacific,Singapore,222 ms,5107 kB/s
47.236.75.113,80,FALSE,SIN,Asia Pacific,Singapore,223 ms,5101 kB/s
47.237.92.26,2082,FALSE,SIN,Asia Pacific,Singapore,217 ms,5090 kB/s
47.236.166.131,2082,FALSE,SIN,Asia Pacific,Singapore,225 ms,5089 kB/s
47.236.144.156,80,FALSE,SIN,Asia Pacific,Singapore,220 ms,5088 kB/s
47.237.0.31,2052,FALSE,SIN,Asia Pacific,Singapore,215 ms,5087 kB/s
47.236.172.95,80,FALSE,SIN,Asia Pacific,Singapore,236 ms,5086 kB/s
47.236.123.133,2082,FALSE,SIN,Asia Pacific,Singapore,254 ms,5085 kB/s
47.236.205.188,80,FALSE,SIN,Asia Pacific,Singapore,236 ms,5068 kB/s
47.236.10.100,8880,FALSE,SIN,Asia Pacific,Singapore,219 ms,5062 kB/s
47.238.6.102,2082,FALSE,HKG,Asia Pacific,Hong Kong,66 ms,5060 kB/s
47.236.237.90,2052,FALSE,SIN,Asia Pacific,Singapore,215 ms,5059 kB/s
47.237.83.20,8080,FALSE,SIN,Asia Pacific,Singapore,214 ms,5049 kB/s
47.236.171.205,8880,FALSE,SIN,Asia Pacific,Singapore,218 ms,5047 kB/s
47.236.144.48,8080,FALSE,SIN,Asia Pacific,Singapore,218 ms,5036 kB/s
47.236.180.51,2086,FALSE,SIN,Asia Pacific,Singapore,213 ms,5029 kB/s
47.236.166.131,2052,FALSE,SIN,Asia Pacific,Singapore,218 ms,5026 kB/s
47.236.237.90,8880,FALSE,SIN,Asia Pacific,Singapore,257 ms,5025 kB/s
47.236.205.188,8880,FALSE,SIN,Asia Pacific,Singapore,221 ms,5023 kB/s
47.236.97.90,2052,FALSE,SIN,Asia Pacific,Singapore,234 ms,5022 kB/s
47.236.5.223,2095,FALSE,SIN,Asia Pacific,Singapore,221 ms,4999 kB/s
8.219.163.195,2095,FALSE,SIN,Asia Pacific,Singapore,224 ms,4996 kB/s
47.237.11.182,2086,FALSE,SIN,Asia Pacific,Singapore,209 ms,4969 kB/s
47.236.169.15,8880,FALSE,SIN,Asia Pacific,Singapore,214 ms,4969 kB/s
47.236.172.95,2052,FALSE,SIN,Asia Pacific,Singapore,225 ms,4967 kB/s
47.236.180.51,2052,FALSE,SIN,Asia Pacific,Singapore,218 ms,4942 kB/s
47.237.95.156,2082,FALSE,SIN,Asia Pacific,Singapore,241 ms,4934 kB/s
47.236.123.133,2095,FALSE,SIN,Asia Pacific,Singapore,223 ms,4932 kB/s
47.237.0.31,8080,FALSE,SIN,Asia Pacific,Singapore,216 ms,4931 kB/s
47.237.95.156,8880,FALSE,SIN,Asia Pacific,Singapore,240 ms,4918 kB/s
47.236.117.48,2095,FALSE,SIN,Asia Pacific,Singapore,215 ms,4870 kB/s
47.237.95.140,8880,FALSE,SIN,Asia Pacific,Singapore,214 ms,4860 kB/s
47.236.170.54,8880,FALSE,SIN,Asia Pacific,Singapore,218 ms,4851 kB/s
47.236.144.208,2052,FALSE,SIN,Asia Pacific,Singapore,240 ms,4839 kB/s
47.237.11.182,2095,FALSE,SIN,Asia Pacific,Singapore,212 ms,4826 kB/s
47.237.86.185,2082,FALSE,SIN,Asia Pacific,Singapore,227 ms,4826 kB/s
47.237.95.156,2052,FALSE,SIN,Asia Pacific,Singapore,215 ms,4825 kB/s
47.236.144.196,8880,FALSE,SIN,Asia Pacific,Singapore,222 ms,4824 kB/s
