IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.237.11.182,2086,2086,false,SIN,Asia Pacific,Singapore,155,0.00
43.156.253.94,443,443,true,SIN,Asia Pacific,Singapore,388,0.00
47.236.158.158,2082,2082,false,SIN,Asia Pacific,Singapore,146,0.00
104.199.156.241,80,443,false,SIN,Asia Pacific,Singapore,33,0.00
8.219.6.150,80,80,false,SIN,Asia Pacific,Singapore,144,0.00
8.219.0.48,2087,2087,true,SIN,Asia Pacific,Singapore,138,0.00
47.237.84.173,2053,2053,true,SIN,Asia Pacific,Singapore,146,0.00
47.236.144.208,8080,8080,false,SIN,Asia Pacific,Singapore,154,0.00
47.236.169.164,2086,2086,false,SIN,Asia Pacific,Singapore,165,0.00
47.236.144.196,8880,8880,false,SIN,Asia Pacific,Singapore,75,0.00
47.236.118.216,2052,2052,false,SIN,Asia Pacific,Singapore,143,0.00
8.219.106.156,2082,2082,false,SIN,Asia Pacific,Singapore,54,0.00
8.219.111.175,2082,2082,false,SIN,Asia Pacific,Singapore,148,0.00
